catalog,vizier_source,vizier_table,recno,Index,MCXC,OName,AName,RAJ2000,DEJ2000,GLON,GLAT,Cat,SubCat,z,zType,r_z,f_z,Scale,ERange,Rap,FX,e_FX,LX2L500,Lap,L500,e_L500,E_L500,R500,M500,e_M500,E_M500,Ovlp,Cat1,Cat2,Cat3,Cat4,L5001,e_L5001,E_L5001,L5002,e_L5002,E_L5002,L5003,e_L5003,E_L5003,L5004,e_L5004,E_L5004,NotesO,Notes,Index1,SimbadName,RA_deg,Dec_deg
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,390,389,MCXC J0351.1-8212,RXCJ0351.1-8212,S0405,57.7872,-82.2166,296.4214,-32.4876,NORAS/REFLEX,REFLEX,0.0613,S,2004A&A...425..367B,Catalogue,1.1825,[0.1 2.4],16.5,14.078,1.12624,ITER,1.23893,1.0,0.1,0.1,0.8991,2.1908,0.1,0.1,RXGCC,RXGCC,,,,0.8949699997901917,0.1177299991250038,0.1178499981760979,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,Too extended for standard GCA analysis and analyzed in 4 x 4 or 8 x 8 degree2 fields,,304,RXCJ0351.1-8212,57.7872,-82.2166
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,391,390,MCXC J0351.6-3649,RX J0351.6-3649,VMF98 35,57.9075,-36.8306,238.8803,-50.953,160SD,160SD,0.372,S,2003ApJ...594..154M,Catalogue,5.1365,[0.5 2. ],1e+20,0.088,0.022,SC,1e+20,0.6,0.1,0.1,0.6537,1.1733,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,305,RX J0351.6-3649,57.9075,-36.8306
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,392,391,MCXC J0352.3-5453,RXCJ0352.3-5453,RBS 0485,58.0864,-54.8859,266.0032,-47.1848,NORAS/REFLEX,REFLEX,0.0447,S,2004A&A...425..367B,Catalogue,0.8794,[0.1 2.4],13.0,3.798,0.98368,ITER,0.17594,0.2,0.05,0.05,0.6171,0.6975,0.1,0.1,RXGCC,RXGCC,,,,0.17065000534057617,0.02384999953210354,0.02400000020861626,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,306,RXCJ0352.3-5453,58.0864,-54.8859
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,393,392,MCXC J0352.4-7401,MS0353.3-7411,A3186,58.1231,-74.0309,288.6433,-37.642,EMSS,EMSS_1994,0.127,S,1991ApJS...76..813S,Catalogue,2.2714,[0.3 3.5],1e+20,6.687,1.09616,SC,1e+20,2.0,0.4,0.4,0.9913,3.1333,0.3,0.3,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,307,MS0353.3-7411,58.1231,-74.0309
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,394,393,MCXC J0352.9+1941,RXC J0352.9+1941,RXJ0352.9+1941,58.2492,19.6895,171.0339,-25.7755,NORAS/REFLEX,NORAS,0.1085,S,2000ApJS..129..435B,Catalogue,1.9817,[0.1 2.4],9.0,7.83,0.83781,ITER,2.24562,2.0,0.2,0.2,0.992,3.082,0.2,0.2,BCS|RXGCC,BCS,RXGCC,,,2.2328999042510986,0.5995699763298035,0.6119300127029419,1.4156500101089478,0.184159994125366,0.184190005064011,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,308,RXC J0352.9+1941,58.2492,19.6895
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,395,395,MCXC J0354.5-3745,BVH2007 55,A3184,58.6475,-37.7556,240.3156,-50.3416,400SD,400SD_SER,0.251,S,2007ApJS..172..561B,Catalogue,3.9216,[0.5 2. ],1e+20,1.972,0.259,SC,1e+20,5.0,0.6,0.6,1.0773,4.5832,0.4,0.3,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,310,[BVH2007] 55,58.6475,-37.7556
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,396,394,MCXC J0354.5-4233,BVH2007 54,,58.6442,-42.5592,247.791,-49.9564,400SD,400SD_SER,0.224,S,2007ApJS..172..561B,Catalogue,3.6014,[0.5 2. ],1e+20,0.205,0.055,SC,1e+20,0.4,0.1,0.1,0.6727,1.0837,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,309,[BVH2007] 54,58.6442,-42.5592
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,397,396,MCXC J0355.4-3634,BVH2007 56,"AS0400, MS0353.6-3642",58.8746,-36.5675,238.4526,-50.1806,400SD,400SD_SER,0.32,S,1991ApJS...76..813S,Catalogue,4.6552,[0.5 2. ],1e+20,1.084,0.183,SC,1e+20,5.0,0.8,0.8,1.0218,4.2231,0.4,0.4,EMSS_2004,EMSS_2004,,,,3.625159978866577,0.09798000007867813,0.09798000007867813,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,311,[BVH2007] 56,58.8746,-36.5675
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,398,397,MCXC J0355.9-3741,BVH2007 57,,58.9971,-37.6961,240.2106,-50.0668,400SD,400SD_SER,0.473,S,2007ApJS..172..561B,Catalogue,5.9229,[0.5 2. ],1e+20,0.292,0.067,SC,1e+20,3.0,0.7,0.7,0.8567,2.9701,0.4,0.4,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,312,[BVH2007] 57,58.9971,-37.6961
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,399,398,MCXC J0358.9-2955,MACS J0358.8-2955,,59.7267,-29.9256,228.2976,-49.0105,MACS,MACS_DR2,0.425,S,2010MNRAS.407...83E,Catalogue,5.5717,[0. 0.],4.487,1e+20,1e+20,,18.9,20.0,1.0,1.0,1.2569,8.8676,0.3,0.3,REFLEX,REFLEX,,,,15.18235969543457,1.995740056037903,1.994969964027405,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,313,MACS J0358.8-2955,59.7267,-29.9256
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,400,399,MCXC J0359.1-0320,RXCJ0359.1-0320,,59.7884,-3.3412,193.3797,-39.2955,NORAS/REFLEX,REFLEX,0.122,S,2004A&A...425..367B,Catalogue,2.1943,[0.1 2.4],8.5,3.546,0.60637,ITER,1.30959,1.0,0.2,0.2,0.8811,2.1888,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,314,RXCJ0359.1-0320,59.7884,-3.3412
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,401,400,MCXC J0400.1-5839,RXGCC 160,,60.048,-58.655,270.4273,-44.7534,RXGCC,RXGCC,0.1128,SP,2022A&A...658A..59X,Catalogue,2.0501,[0.1 2.4],12.7,2.79887,0.40258,ITER,0.87824,0.8,0.1,0.1,0.8123,1.6997,0.2,0.1,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,An SZ cluster with no z and offset = 0.16 Mpc,,16959,,60.048,-58.655
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,402,401,MCXC J0401.0-2731,RXGCC 161,,60.27,-27.532,224.847,-48.147,RXGCC,RXGCC,0.0624,SP,2022A&A...658A..59X,Catalogue,1.2022,[0.1 2.4],18.281,3.72307,1.00311,ITER,0.34113,0.3,0.09,0.09,0.691,0.9957,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,An Abell cluster with no z and offset = 0.53 Mpc(7.33 arcmin),,16959,,60.27,-27.532
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,403,402,MCXC J0403.7-1709,RXGCC 162,,60.936,-17.163,210.639,-44.6449,RXGCC,RXGCC,0.1441,U,2022A&A...658A..59X,Catalogue,2.5282,[0.1 2.4],10.262,2.49758,0.61448,ITER,1.31433,1.0,0.3,0.3,0.8662,2.1269,0.3,0.3,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,z of optical cluster; An SZ cluster with no z and offset = 0.39 Mpc,,16959,,60.936,-17.163
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,404,403,MCXC J0404.6+1109,RXC J0404.6+1109,MCS  J0404.6+1109,61.1558,11.1658,180.2471,-29.5104,NORAS/REFLEX,NORAS,0.3548,S,2000ApJS..129..435B,Catalogue,4.9835,[0.1 2.4],4.5,1.91,0.42975,ITER,6.92841,7.0,2.0,2.0,1.0736,5.095,0.7,0.7,MACS_DR2,MACS_DR2,,,,4.3602800369262695,0.5977399945259094,0.6003199815750122,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,315,RXC J0404.6+1109,61.1558,11.1658
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,405,404,MCXC J0405.4-4100,BVH2007 58,,61.3512,-41.0042,245.1316,-48.0983,400SD,400SD_SER,0.686,S,2007ApJS..172..561B,Catalogue,7.0878,[0.5 2. ],1e+20,0.154,0.037,SC,1e+20,4.0,0.9,0.9,0.7808,2.8974,0.4,0.4,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,316,[BVH2007] 58,61.3512,-41.0042
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,406,405,MCXC J0406.7-7116,MS0407.2-7123,,61.691,-71.2751,284.9944,-38.3106,EMSS,EMSS_1994,0.229,S,1994ApJS...94..583G,Catalogue,3.6622,[0.3 3.5],1e+20,1.058,0.232,SC,1e+20,1.0,0.3,0.3,0.8433,2.1464,0.3,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,317,MS0407.2-7123,61.691,-71.2751
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,407,406,MCXC J0408.2-3053,RXCJ0408.2-3053,A3223,62.0677,-30.8943,230.1505,-47.1444,NORAS/REFLEX,REFLEX,0.06,S,2004A&A...425..367B,Catalogue,1.1592,[0.1 2.4],16.0,8.186,0.72037,ITER,0.69032,0.7,0.06,0.06,0.7997,1.5402,0.08,0.08,RXGCC,RXGCC,,,,0.6650999784469604,0.05872000008821487,0.05886000022292137,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,losStr (see Table 12 of Reflex paper),,318,RXCJ0408.2-3053,62.0677,-30.8943
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,408,407,MCXC J0409.7-5933,RXGCC 164,,62.426,-59.556,270.9412,-43.2818,RXGCC,RXGCC,0.0556,SP,2022A&A...658A..59X,Catalogue,1.0798,[0.1 2.4],10.75,1.45319,0.30773,ITER,0.10624,0.1,0.02,0.02,0.5534,0.5083,0.07,0.06,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,62.426,-59.556
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,409,408,MCXC J0413.4+1028,RXC J0413.4+1028,A0478,63.3565,10.4669,182.4333,-28.2864,NORAS/REFLEX,NORAS,0.0882,S,2000ApJS..129..435B,Catalogue,1.6489,[0.1 2.4],15.5,40.51,2.06601,ITER,7.48585,7.0,0.4,0.4,1.2704,6.345,0.2,0.2,BCS|RXGCC,BCS,RXGCC,,,7.350709915161133,0.976140022277832,0.9849200248718262,4.664279937744141,0.256680011749268,0.257290005683899,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,319,RXC J0413.4+1028,63.3565,10.4669
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,410,409,MCXC J0413.9-3805,RXCJ0413.9-3805,,63.4878,-38.0999,240.7901,-46.5215,NORAS/REFLEX,REFLEX,0.0501,S,2004A&A...425..367B,Catalogue,0.9793,[0.1 2.4],15.0,12.608,0.97082,ITER,0.73384,0.7,0.06,0.06,0.8185,1.6354,0.08,0.08,RXGCC,RXGCC,,,,0.6898999810218811,0.05722999945282936,0.05731000006198883,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,Blended with point sources or double cluster and deblended,,320,RXCJ0413.9-3805,63.4878,-38.0999
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,411,410,MCXC J0415.6-5554,RXGCC 167,,63.925,-55.9,265.8167,-43.7208,RXGCC,RXGCC,0.0036,SP,2022A&A...658A..59X,Catalogue,0.0744,[0.1 2.4],33.725,5.56529,1.2327,ITER,0.00159,0.002,0.0004,0.0004,0.254,0.0468,0.007,0.006,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,An XSZ cluster with z = 0.3650 and offset = 0.14 Mpc (30 arcmin),,16959,,63.925,-55.9
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,412,411,MCXC J0416.1-2403,MACS J0416.1-2403,,64.0375,-24.0661,221.0852,-44.0578,MACS,MACS_DR3,0.3972,S,2016ApJS..224...33B,Consolidated,5.35,[0. 0.],1e+20,1e+20,1e+20,,1e+20,9.0,1e+20,1e+20,1.1105,5.9215,1e+20,1e+20,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,MACS J0416.1-2403,64.0375,-24.0661
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,413,412,MCXC J0416.7-5525,RX J0416.7-5525,,64.1869,-55.419,265.1205,-43.7144,SHARC,SHARC_SOUTH,0.365,S,2003MNRAS.341.1093B,Catalogue,5.0749,[0.5 2. ],3.33,0.10448,0.01047,ITER,0.72234,0.7,0.07,0.07,0.678,1.2985,0.08,0.07,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,321,RX J0416.7-5525,64.1869,-55.419
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,414,413,MCXC J0417.4-4512,BVH2007 59,A3240,64.3575,-45.2078,250.9853,-45.5571,400SD,400SD_SER,0.213,S,2001MNRAS.328.1039C,Catalogue,3.4652,[0.5 2. ],1e+20,0.488,0.105,SC,1e+20,0.9,0.2,0.2,0.783,1.6891,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,322,[BVH2007] 59,64.3575,-45.2078
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,415,414,MCXC J0417.5-1154,MACS J0417.5-1154,,64.3946,-11.9092,205.9463,-39.4782,MACS,MACS_DR2,0.443,S,2010MNRAS.407...83E,Catalogue,5.7079,[0. 0.],4.9346,1e+20,1e+20,,29.1,30.0,1.0,1.0,1.353,11.2947,0.4,0.4,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,323,MACS J0417.5-1154,64.3946,-11.9092
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,416,415,MCXC J0419.6+0224,RXCJ0419.6+0224,NGC1550,64.9075,2.4138,190.9718,-31.847,NORAS/REFLEX,REFLEX,0.0131,S,2004A&A...425..367B,Catalogue,0.2677,[0.1 2.4],22.0,40.095,2.44579,ITER,0.15357,0.2,0.01,0.01,0.63,0.7206,0.03,0.03,BCS|RXGCC,BCS,RXGCC,,,0.22213999927043915,0.02962999977171421,0.03027999959886074,0.10395999997854233,0.0075199999846518,0.00755000021308661,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,Too extended for standard GCA analysis and analyzed in 4 x 4 or 8 x 8 degree2 fields,,324,RXCJ0419.6+0224,64.9075,2.4138
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,417,416,MCXC J0420.1-3838,MS0418.3-3844,,65.0255,-38.6341,241.59,-45.326,EMSS,EMSS_2004,0.35,S,1991ApJS...76..813S,Catalogue,4.9398,[0. 0.],1e+20,1e+20,1e+20,,1e+20,1.0,0.1,0.1,0.7876,2.0008,0.09,0.08,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,325,MS0418.3-3844,65.0255,-38.6341
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,418,417,MCXC J0420.7-3841,MS0419.0-3848,,65.1864,-38.6992,241.6863,-45.2018,EMSS,EMSS_1994,0.225,S,1991ApJS...76..813S,Catalogue,3.6137,[0.3 3.5],1e+20,0.178,0.04045,SC,1e+20,0.3,0.05,0.05,0.6041,0.7855,0.1,0.09,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,326,MS0419.0-3848,65.1864,-38.6992
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,419,418,MCXC J0421.0-4629,BVH2007 60,A3247,65.2646,-46.4928,252.701,-44.7906,400SD,400SD_SER,0.131,S,2007ApJS..172..561B,Catalogue,2.3324,[0.5 2. ],1e+20,0.351,0.084,SC,1e+20,0.2,0.06,0.06,0.6248,0.7878,0.1,0.1,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,327,[BVH2007] 60,65.2646,-46.4928
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,420,419,MCXC J0422.4-5009,BVH2007 61,,65.62,-50.1503,257.7248,-44.0413,400SD,400SD_SER,0.0901,S,2007ApJS..172..561B,Catalogue,1.6808,[0.5 2. ],1e+20,0.4,0.118,SC,1e+20,0.1,0.04,0.04,0.5574,0.5369,0.1,0.09,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,328,[BVH2007] 61,65.62,-50.1503
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,421,420,MCXC J0423.5+1540,RXGCC 169,,65.893,15.668,179.6822,-23.089,RXGCC,RXGCC,0.075,SP,2022A&A...658A..59X,Catalogue,1.4238,[0.1 2.4],23.219,3.08893,0.69541,ITER,0.41353,0.4,0.09,0.09,0.7111,1.0983,0.2,0.1,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,65.893,15.668
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,422,421,MCXC J0425.5-0045,RXCJ0425.5-0045,ZwCl0423.2-0053,66.3798,-0.7577,195.0563,-32.3517,REFLEX/NORAS,REFLEXII,0.224,S,2013A&A...555A..30B,Catalogue,3.6014,[0.1 2.4],7.0,1.94,0.46754,ITER,2.61203,2.0,0.6,0.6,0.9511,3.0634,0.5,0.4,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,RXCJ0425.5-0045,66.3798,-0.7577
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,423,422,MCXC J0425.8-0833,RXCJ0425.8-0833,RBS 0540,66.4641,-8.5592,203.2998,-36.1613,NORAS/REFLEX,REFLEX,0.0397,S,2004A&A...425..367B,Catalogue,0.7857,[0.1 2.4],13.5,28.011,1.62464,ITER,1.01196,1.0,0.07,0.07,0.8914,2.0917,0.08,0.08,RXGCC,RXGCC,,,,0.8966500163078308,0.05914000049233437,0.05942999944090843,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,Details on source identification in Appendix of REFLEX paper,,329,RXCJ0425.8-0833,66.4641,-8.5592
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,424,423,MCXC J0426.1+1655,RX J0426.1+1655,,66.5307,16.92,179.0559,-21.8213,SHARC,SHARC_BRIGHT,0.38,S,2000ApJS..126..209R,Catalogue,5.2056,[0.5 2. ],3.1439,0.41272,0.026,ITER,2.93969,3.0,0.2,0.2,0.8943,3.0313,0.1,0.1,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,330,RX J0426.1+1655,66.5307,16.92
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,425,424,MCXC J0427.0-6247,RXGCC 171,,66.77,-62.792,274.0099,-40.1827,RXGCC,RXGCC,0.0185,SP,2022A&A...658A..59X,Catalogue,0.3756,[0.1 2.4],27.169,6.16379,0.5774,ITER,0.04773,0.05,0.004,0.004,0.4807,0.3216,0.02,0.02,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,66.77,-62.792
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,426,425,MCXC J0427.6+0844,RXGCC 172,,66.917,8.749,186.3775,-26.5489,RXGCC,RXGCC,0.1312,SP,2022A&A...658A..59X,Catalogue,2.3354,[0.1 2.4],10.262,2.0145,0.47802,ITER,0.87095,0.8,0.2,0.2,0.8037,1.677,0.3,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,66.917,8.749
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,427,426,MCXC J0428.7-3805,BVH2007 62,"VMF98 36, A3259",67.1767,-38.0964,240.9258,-43.6203,400SD,400SD_SER,0.154,S,1999ApJS..125...35S,Catalogue,2.6722,[0.5 2. ],1e+20,0.208,0.055,SC,1e+20,0.2,0.05,0.05,0.5962,0.7006,0.1,0.1,160SD,160SD,,,,0.19444000720977783,0.04729000106453896,0.0470299981534481,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,331,[BVH2007] 62,67.1767,-38.0964
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,428,427,MCXC J0429.1-5350,RXCJ0429.1-5350,S0463,67.2826,-53.8475,262.4482,-42.3492,NORAS/REFLEX,REFLEX,0.04,S,2004A&A...425..367B,Catalogue,0.7913,[0.1 2.4],10.0,4.018,0.66297,ITER,0.14836,0.2,0.03,0.03,0.6054,0.6556,0.07,0.07,RXGCC,RXGCC,,,,0.30368998646736145,0.06277000159025192,0.06311000138521194,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,332,RXCJ0429.1-5350,67.2826,-53.8475
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,429,428,MCXC J0429.5-0253,MACS J0429.6-0253,,67.4,-2.8856,197.839,-32.5888,MACS,MACS_DR2,0.399,S,2010MNRAS.407...83E,Catalogue,5.3647,[0. 0.],3.4174,1e+20,1e+20,,10.9,10.0,0.6,0.6,1.1522,6.6266,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,333,MACS J0429.6-0253,67.4,-2.8856
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,430,429,MCXC J0431.3-0500,RXGCC 174,,67.828,-5.001,200.2763,-33.2766,RXGCC,RXGCC,0.0161,SP,2022A&A...658A..59X,Catalogue,0.3278,[0.1 2.4],41.59,8.33487,1.52854,ITER,0.04868,0.05,0.009,0.009,0.4807,0.3209,0.04,0.03,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,67.828,-5.001
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,431,430,MCXC J0431.4-6126,RXCJ0431.4-6126,A3266,67.8504,-61.4439,272.1272,-40.1346,NORAS/REFLEX,REFLEX,0.0589,S,1996AJ....112...36Q,Catalogue,1.1394,[0.1 2.4],18.0,49.741,0.89534,ITER,4.0076,4.0,0.07,0.07,1.1423,4.4835,0.05,0.05,RXGCC,RXGCC,,,,4.07889986038208,0.08310999721288681,0.08314000070095062,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,334,RXCJ0431.4-6126,67.8504,-61.4439
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,432,431,MCXC J0433.6-1315,RXCJ0433.6-1315,A0496,68.4099,-13.2591,209.5848,-36.4849,NORAS/REFLEX,REFLEX,0.0326,S,2004A&A...425..367B,Catalogue,0.6507,[0.1 2.4],19.0,72.075,2.66678,ITER,1.74052,2.0,0.07,0.07,0.9942,2.8835,0.07,0.07,RXGCC,RXGCC,,,,1.5041999816894531,0.0626399964094162,0.06272999942302704,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,335,RXCJ0433.6-1315,68.4099,-13.2591
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,433,432,MCXC J0434.2-0831,RX J0434.2-0831,VMF98 37,68.5654,-8.5214,204.4251,-34.2973,160SD,160SD,0.24,S,2003ApJ...594..154M,Catalogue,3.7935,[0.5 2. ],1e+20,0.072,0.022,SC,1e+20,0.2,0.06,0.05,0.5594,0.634,0.1,0.1,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,336,RX J0434.2-0831,68.5654,-8.5214
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,434,433,MCXC J0436.0-4541,RXGCC 177,,69.007,-45.698,251.3195,-42.2681,RXGCC,RXGCC,0.1466,SP,2022A&A...658A..59X,Catalogue,2.5649,[0.1 2.4],10.262,2.32995,0.57733,ITER,1.27255,1.0,0.3,0.3,0.8592,2.0813,0.3,0.3,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,69.007,-45.698
mcxc2,J/A+A/688/A187/mcxcii,J/A+A/688/A187/mcxcii,435,434,MCXC J0436.4+1039,RXGCC 178,,69.103,10.658,186.0831,-23.6826,RXGCC,RXGCC,0.1039,U,2022A&A...658A..59X,Catalogue,1.9077,[0.1 2.4],6.85,3.34841,0.54668,ITER,0.88348,0.9,0.2,0.2,0.8293,1.7927,0.2,0.2,,,,,,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,1e+20,,,16959,,69.103,10.658
